Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,41.431252,41.437500,40.768749,40.768749,27.410271,3600
1996-01-02,40.768749,40.687500,40.006248,40.187500,27.019468,15600
1996-01-03,24.112499,26.250000,25.500000,25.631250,17.232786,17600
1996-01-04,25.631250,25.750000,25.250000,25.500000,17.144547,8800
1996-01-05,25.500000,25.750000,25.250000,25.631250,17.232786,15200
1996-01-08,25.631250,25.437500,25.131250,25.218750,16.955454,8800
1996-01-09,25.218750,25.375000,24.381250,24.431250,16.425982,25600
1996-01-10,25.125000,25.125000,24.375000,24.843750,16.703327,14800
1996-01-11,24.843750,24.875000,24.500000,24.718750,16.619284,3600
1996-01-12,24.718750,25.375000,24.375000,25.231251,16.963860,24800
1996-01-15,25.231251,25.250000,25.000000,25.231251,16.963860,4800
1996-01-16,25.231251,25.500000,24.875000,25.368750,17.056301,7200
1996-01-17,25.368750,25.375000,25.000000,25.231251,16.963860,6400
1996-01-18,25.231251,25.625000,24.993750,25.625000,17.228592,250800
1996-01-19,25.250000,25.375000,25.006250,25.250000,16.976461,20800
1996-01-22,25.250000,25.375000,25.025000,25.250000,16.976461,24800
1996-01-23,25.250000,26.312500,25.087500,25.912500,17.421886,52000
1996-01-24,25.750000,25.875000,25.343750,25.500000,17.144547,6800
1996-01-25,25.500000,26.250000,25.250000,26.250000,17.648796,122800
1996-01-26,26.250000,26.250000,26.250000,26.250000,17.648796,0
1996-01-29,26.250000,26.625000,25.625000,26.531250,17.837893,4000
1996-01-30,26.531250,28.125000,26.112499,28.125000,18.909426,249200
1996-01-31,27.500000,28.125000,26.256250,28.125000,18.909426,100800
1996-02-01,28.125000,29.375000,27.406250,29.343750,19.728838,445200
1996-02-02,28.125000,29.187500,28.125000,29.043751,19.527138,32400
1996-02-05,29.043751,30.312500,28.500000,30.250000,20.338137,507600
1996-02-06,30.250000,30.256250,29.437500,29.950001,20.136440,68800
1996-02-07,29.950001,30.968750,29.000000,30.462500,20.481012,67600
1996-02-08,30.462500,32.000000,31.000000,31.500000,21.178562,42800
1996-02-09,31.875000,32.000000,31.375000,31.531250,21.199568,61200
1996-02-12,31.750000,32.750000,30.250000,30.956249,20.812975,38400
1996-02-13,30.625000,32.506248,30.262501,32.349998,21.750040,90800
1996-02-14,33.125000,35.375000,33.125000,34.875000,23.447691,460000
1996-02-15,34.875000,35.250000,34.062500,34.993752,23.527531,69200
1996-02-16,34.993752,34.625000,33.768749,34.337502,23.086306,55200
1996-02-19,34.337502,35.125000,33.875000,35.000000,23.531733,62400
1996-02-20,35.000000,35.381248,34.812500,35.031250,23.552746,72400
1996-02-21,35.031250,35.031250,35.031250,35.031250,23.552746,0
1996-02-22,35.031250,35.500000,35.018749,35.131248,23.619972,34400
1996-02-23,35.131248,35.593750,35.068748,35.337502,23.758646,39200
1996-02-26,35.337502,36.750000,35.625000,36.500000,24.540232,68800
1996-02-27,36.500000,37.000000,36.125000,36.843750,24.771351,42800
1996-02-28,36.843750,36.875000,35.625000,35.875000,24.120020,23600
1996-02-29,35.875000,35.437500,34.375000,34.668751,23.309023,76400
1996-03-01,34.668751,35.218750,34.506248,34.956249,23.502319,51600
1996-03-04,34.956249,35.000000,34.000000,34.037498,22.884605,28800
1996-03-05,34.037498,34.037498,34.037498,34.037498,22.884605,0
1996-03-06,34.037498,35.031250,34.312500,34.325001,23.077906,14000
1996-03-07,34.325001,35.618752,34.250000,34.299999,23.061100,16400
1996-03-08,34.299999,34.250000,33.781250,34.181252,22.981258,15600
1996-03-11,34.181252,33.125000,31.912500,32.356251,21.754244,16000
1996-03-12,32.356251,32.375000,31.687500,31.943750,21.476908,33600
1996-03-13,31.943750,32.625000,31.881250,32.625000,21.934931,16400
1996-03-14,32.625000,33.487499,32.756248,33.062500,22.229080,9600
1996-03-15,33.062500,33.500000,32.812500,33.500000,22.523224,16800
1996-03-18,32.625000,32.750000,32.349998,32.500000,21.850891,8400
1996-03-19,32.500000,33.062500,32.312500,32.400002,21.783661,14400
1996-03-20,32.400002,32.400002,32.400002,32.400002,21.783661,0
1996-03-21,32.400002,35.000000,32.468750,32.875000,22.103018,46000
1996-03-22,32.875000,32.500000,31.637501,31.637501,21.271004,5600
1996-03-25,31.637501,33.875000,31.881250,32.531250,21.871906,20000
